anime_id,anime_name,genres,type,number_of_episodes,rating,total_views,production_cost,total_box_office
21366,3-gatsu no Lion,"Drama, Slice of Life",TV,22,83,171491,250000,50.0
21127,Steins;Gate 0,"Drama, Psychological, Sci-Fi, Thriller",TV,23,84,171205,100000,14.0
47,AKIRA,"Action, Adventure, Horror, Psychological, Sci-Fi, Supernatural",MOVIE,1,79,171085,300000,26.0
139630,Boku no Hero Academia 6,"Action, Adventure",TV,25,82,170857,150000,25.0
108430,Given,"Drama, Music, Romance, Slice of Life",TV,11,82,170171,300000,39.0
103139,Domestic na Kanojo,"Drama, Ecchi, Romance",TV,12,64,169731,100000,32.0
109261,Go-toubun no Hanayome ∬,"Comedy, Drama, Romance, Slice of Life",TV,12,80,168043,150000,48.0
108759,Sword Art Online: Alicization - War of Underworld,"Action, Adventure, Fantasy",TV,12,75,167679,200000,58.0
100977,Hataraku Saibou,"Action, Comedy, Sci-Fi",TV,13,73,167458,200000,43.0
108489,Yahari Ore no Seishun Love Come wa Machigatteiru. Kan,"Comedy, Drama, Romance, Slice of Life",TV,12,82,165997,250000,31.0
145545,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,"Drama, Mystery, Psychological",TV,13,79,165737,150000,37.0
100922,Grand Blue,"Comedy, Slice of Life, Sports",TV,12,82,164626,150000,23.0
20770,Akatsuki no Yona,"Action, Adventure, Comedy, Drama, Fantasy, Romance",TV,24,79,164158,200000,38.0
136430,VINLAND SAGA SEASON 2,"Action, Adventure, Drama",TV,24,88,162955,150000,28.0
141391,Yofukashi no Uta,"Comedy, Psychological, Romance, Slice of Life, Supernatural",TV,13,79,162192,150000,28.0
151801,MASHLE,"Action, Comedy, Fantasy",TV,12,76,161802,300000,55.0
20792,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Drama, Fantasy, Supernatural",TV,13,82,161408,150000,52.0
21175,Dragon Ball Super,"Action, Adventure, Comedy, Fantasy, Sci-Fi",TV,131,72,160994,150000,55.0
21421,Kiznaiver,"Drama, Romance, Sci-Fi",TV,12,71,160028,200000,27.0
108928,Nanatsu no Taizai: Kamigami no Gekirin,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",TV,24,62,159333,300000,19.0
113717,Ousama Ranking,"Action, Adventure, Drama, Fantasy",TV,23,84,158953,150000,39.0
20457,Black Bullet,"Action, Drama, Mystery, Sci-Fi",TV,13,66,158558,300000,40.0
10408,Hotarubi no Mori e,"Drama, Fantasy, Romance, Supernatural",MOVIE,1,79,158217,150000,37.0
849,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Sci-Fi, Slice of Life, Supernatural",TV,14,76,157043,250000,27.0
227,FLCL,"Action, Comedy, Mecha, Sci-Fi",OVA,6,78,156864,200000,12.0
103223,Bungou Stray Dogs 3rd Season,"Action, Comedy, Mystery, Supernatural",TV,12,81,156527,300000,12.0
20910,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"Comedy, Ecchi",TV,12,69,156138,100000,33.0
12355,Ookami Kodomo no Ame to Yuki,"Drama, Fantasy, Romance, Slice of Life",MOVIE,1,83,155723,250000,21.0
98291,Tsurezure Children,"Comedy, Drama, Romance, Slice of Life",TV_SHORT,12,74,155512,300000,33.0
100668,Arifureta Shokugyou de Sekai Saikyou,"Action, Adventure, Fantasy, Psychological",TV,13,64,154981,250000,49.0
21711,91Days,"Action, Drama, Psychological",TV,12,76,154842,300000,9.0
20993,Owari no Seraph: Nagoya Kessen-hen,"Action, Drama, Fantasy, Supernatural",TV,12,74,154406,200000,8.0
18507,Free!,"Comedy, Drama, Slice of Life, Sports",TV,12,71,154241,300000,28.0
130003,Bocchi the Rock!,"Comedy, Music, Slice of Life",TV,12,87,154192,300000,32.0
2251,Baccano!,"Action, Mystery, Supernatural",TV,13,81,154003,150000,13.0
15451,High School DxD NEW,"Action, Comedy, Ecchi, Fantasy, Romance",TV,12,70,153383,100000,25.0
11843,Danshi Koukousei no Nichijou,"Comedy, Slice of Life",TV,12,80,153281,300000,46.0
